,SourceFile,FileName,FileSize,Model,DateTimeOriginal,ImageSize,FocalLength,ShutterSpeed,Aperture,ISO,WhiteBalance,Flash,Event,Round,Batch
684,./36_32_WF_0304.JPG,36_32_WF_0304.JPG,850 kB,BTC5HDPX,10/29/19 12:17,2000x1125,42.0 mm,1/100,2.4,100,Unknown (288),"Auto, Did not fire",142,4,2
685,./36_32_WF_0305.JPG,36_32_WF_0305.JPG,852 kB,BTC5HDPX,10/29/19 12:17,2000x1125,42.0 mm,1/100,2.4,100,Unknown (288),"Auto, Did not fire",142,4,2
686,./36_32_WF_0306.JPG,36_32_WF_0306.JPG,861 kB,BTC5HDPX,10/29/19 12:17,2000x1125,42.0 mm,1/100,2.4,100,Unknown (288),"Auto, Did not fire",142,4,2
687,./36_32_WF_0307.JPG,36_32_WF_0307.JPG,868 kB,BTC5HDPX,10/29/19 16:46,2000x1125,42.0 mm,Jan-45,2.4,100,Unknown (288),"Auto, Did not fire",143,4,2
688,./36_32_WF_0308.JPG,36_32_WF_0308.JPG,843 kB,BTC5HDPX,10/29/19 16:46,2000x1125,42.0 mm,Jan-35,2.4,100,Unknown (288),"Auto, Did not fire",143,4,2
689,./36_32_WF_0309.JPG,36_32_WF_0309.JPG,842 kB,BTC5HDPX,10/29/19 16:46,2000x1125,42.0 mm,Jan-35,2.4,100,Unknown (288),"Auto, Did not fire",143,4,2
690,./36_32_WF_0310.JPG,36_32_WF_0310.JPG,875 kB,BTC5HDPX,10/30/19 9:55,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",144,4,2
691,./36_32_WF_0311.JPG,36_32_WF_0311.JPG,877 kB,BTC5HDPX,10/30/19 9:56,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",144,4,2
692,./36_32_WF_0312.JPG,36_32_WF_0312.JPG,879 kB,BTC5HDPX,10/30/19 9:56,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",144,4,2
693,./36_32_WF_0313.JPG,36_32_WF_0313.JPG,878 kB,BTC5HDPX,10/30/19 9:57,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",145,4,2
694,./36_32_WF_0314.JPG,36_32_WF_0314.JPG,858 kB,BTC5HDPX,10/30/19 9:57,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",145,4,2
695,./36_32_WF_0315.JPG,36_32_WF_0315.JPG,878 kB,BTC5HDPX,10/30/19 9:57,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",145,4,2
696,./36_32_WF_0316.JPG,36_32_WF_0316.JPG,866 kB,BTC5HDPX,10/30/19 10:02,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",146,4,2
697,./36_32_WF_0317.JPG,36_32_WF_0317.JPG,868 kB,BTC5HDPX,10/30/19 10:02,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",146,4,2
698,./36_32_WF_0318.JPG,36_32_WF_0318.JPG,868 kB,BTC5HDPX,10/30/19 10:02,2000x1125,42.0 mm,30-Jan,2.4,400,Unknown (288),"Auto, Did not fire",146,4,2
699,./36_32_WF_0319.JPG,36_32_WF_0319.JPG,839 kB,BTC5HDPX,10/30/19 16:17,2000x1125,42.0 mm,Jan-56,2.4,100,Unknown (288),"Auto, Did not fire",147,4,2
700,./36_32_WF_0320.JPG,36_32_WF_0320.JPG,847 kB,BTC5HDPX,10/30/19 16:17,2000x1125,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",147,4,2
701,./36_32_WF_0321.JPG,36_32_WF_0321.JPG,846 kB,BTC5HDPX,10/30/19 16:17,2000x1125,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",147,4,2
702,./36_32_WF_0322.JPG,36_32_WF_0322.JPG,866 kB,BTC5HDPX,10/31/19 11:55,2000x1125,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",148,4,2
703,./36_32_WF_0323.JPG,36_32_WF_0323.JPG,866 kB,BTC5HDPX,10/31/19 11:55,2000x1125,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",148,4,2
704,./36_32_WF_0324.JPG,36_32_WF_0324.JPG,866 kB,BTC5HDPX,10/31/19 11:55,2000x1125,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",148,4,2
245,./34_21_WF_0136.JPG,34_21_WF_0136.JPG,837 kB,BTC5HDPX,10/31/19 22:02,2000x1125,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",149,4,2
246,./34_21_WF_0137.JPG,34_21_WF_0137.JPG,865 kB,BTC5HDPX,10/31/19 22:02,2000x1125,42.0 mm,Jan-59,2.4,100,Unknown (288),"Auto, Did not fire",149,4,2
248,./34_21_WF_0138.JPG,34_21_WF_0138.JPG,876 kB,BTC5HDPX,10/31/19 22:02,2000x1125,42.0 mm,Jan-59,2.4,100,Unknown (288),"Auto, Did not fire",149,4,2
249,./34_21_WF_0139.JPG,34_21_WF_0139.JPG,863 kB,BTC5HDPX,10/31/19 22:03,2000x1125,42.0 mm,Jan-54,2.4,100,Unknown (288),"Auto, Did not fire",150,4,2
251,./34_21_WF_0140.JPG,34_21_WF_0140.JPG,868 kB,BTC5HDPX,10/31/19 22:03,2000x1125,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",150,4,2
252,./34_21_WF_0141.JPG,34_21_WF_0141.JPG,869 kB,BTC5HDPX,10/31/19 22:03,2000x1125,42.0 mm,Jan-47,2.4,100,Unknown (288),"Auto, Did not fire",150,4,2
705,./36_32_WF_0325.JPG,36_32_WF_0325.JPG,872 kB,BTC5HDPX,11/1/19 11:46,2000x1125,42.0 mm,1/140,2.4,100,Unknown (288),"Auto, Did not fire",151,4,2
706,./36_32_WF_0326.JPG,36_32_WF_0326.JPG,865 kB,BTC5HDPX,11/1/19 11:46,2000x1125,42.0 mm,1/159,2.4,100,Unknown (288),"Auto, Did not fire",151,4,2
707,./36_32_WF_0327.JPG,36_32_WF_0327.JPG,873 kB,BTC5HDPX,11/1/19 11:46,2000x1125,42.0 mm,1/181,2.4,100,Unknown (288),"Auto, Did not fire",151,4,2
708,./36_32_WF_0328.JPG,36_32_WF_0328.JPG,878 kB,BTC5HDPX,11/1/19 13:22,2000x1125,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",152,4,2
709,./36_32_WF_0329.JPG,36_32_WF_0329.JPG,841 kB,BTC5HDPX,11/1/19 13:22,2000x1125,42.0 mm,Jan-60,2.4,100,Unknown (288),"Auto, Did not fire",152,4,2
710,./36_32_WF_0330.JPG,36_32_WF_0330.JPG,837 kB,BTC5HDPX,11/1/19 13:22,2000x1125,42.0 mm,Jan-64,2.4,100,Unknown (288),"Auto, Did not fire",152,4,2
711,./36_32_WF_0331.JPG,36_32_WF_0331.JPG,876 kB,BTC5HDPX,11/1/19 14:40,2000x1125,42.0 mm,1/152,2.4,100,Unknown (288),"Auto, Did not fire",153,4,2
712,./36_32_WF_0332.JPG,36_32_WF_0332.JPG,866 kB,BTC5HDPX,11/1/19 14:40,2000x1125,42.0 mm,1/152,2.4,100,Unknown (288),"Auto, Did not fire",153,4,2
713,./36_32_WF_0333.JPG,36_32_WF_0333.JPG,862 kB,BTC5HDPX,11/1/19 14:40,2000x1125,42.0 mm,1/128,2.4,100,Unknown (288),"Auto, Did not fire",153,4,2
254,./34_21_WF_0142.JPG,34_21_WF_0142.JPG,872 kB,BTC5HDPX,11/2/19 5:31,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",154,4,2
255,./34_21_WF_0143.JPG,34_21_WF_0143.JPG,875 kB,BTC5HDPX,11/2/19 5:31,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",154,4,2
257,./34_21_WF_0144.JPG,34_21_WF_0144.JPG,874 kB,BTC5HDPX,11/2/19 5:31,2000x1125,42.0 mm,30-Jan,2.4,800,Unknown (288),"Auto, Did not fire",154,4,2
714,./36_32_WF_0334.JPG,36_32_WF_0334.JPG,727 kB,BTC5HDPX,11/3/19 4:08,2000x1125,42.0 mm,25-Jan,2.4,100,Unknown (288),"Auto, Fired",155,4,2
715,./36_32_WF_0335.JPG,36_32_WF_0335.JPG,717 kB,BTC5HDPX,11/3/19 4:08,2000x1125,42.0 mm,27-Jan,2.4,100,Unknown (288),"Auto, Fired",155,4,2
716,./36_32_WF_0336.JPG,36_32_WF_0336.JPG,756 kB,BTC5HDPX,11/3/19 4:08,2000x1125,42.0 mm,20-Jan,2.4,100,Unknown (288),"Auto, Fired",155,4,2
717,./36_32_WF_0337.JPG,36_32_WF_0337.JPG,847 kB,BTC5HDPX,11/3/19 15:29,2000x1125,42.0 mm,Jan-45,2.4,100,Unknown (288),"Auto, Did not fire",156,4,2
718,./36_32_WF_0338.JPG,36_32_WF_0338.JPG,870 kB,BTC5HDPX,11/3/19 15:29,2000x1125,42.0 mm,Jan-33,2.4,100,Unknown (288),"Auto, Did not fire",156,4,2
719,./36_32_WF_0339.JPG,36_32_WF_0339.JPG,871 kB,BTC5HDPX,11/3/19 15:29,2000x1125,42.0 mm,Jan-33,2.4,100,Unknown (288),"Auto, Did not fire",156,4,2
258,./34_21_WF_0145.JPG,34_21_WF_0145.JPG,846 kB,BTC5HDPX,11/3/19 23:31,2000x1125,42.0 mm,1/128,2.4,100,Unknown (288),"Auto, Did not fire",157,4,2
260,./34_21_WF_0146.JPG,34_21_WF_0146.JPG,846 kB,BTC5HDPX,11/3/19 23:31,2000x1125,42.0 mm,1/128,2.4,100,Unknown (288),"Auto, Did not fire",157,4,2
261,./34_21_WF_0147.JPG,34_21_WF_0147.JPG,846 kB,BTC5HDPX,11/3/19 23:31,2000x1125,42.0 mm,1/128,2.4,100,Unknown (288),"Auto, Did not fire",157,4,2
263,./34_21_WF_0148.JPG,34_21_WF_0148.JPG,863 kB,BTC5HDPX,11/4/19 2:41,2000x1125,42.0 mm,Jan-91,2.4,100,Unknown (288),"Auto, Did not fire",158,4,2
264,./34_21_WF_0149.JPG,34_21_WF_0149.JPG,864 kB,BTC5HDPX,11/4/19 2:41,2000x1125,42.0 mm,Jan-91,2.4,100,Unknown (288),"Auto, Did not fire",158,4,2
266,./34_21_WF_0150.JPG,34_21_WF_0150.JPG,864 kB,BTC5HDPX,11/4/19 2:41,2000x1125,42.0 mm,Jan-91,2.4,100,Unknown (288),"Auto, Did not fire",158,4,2
720,./36_32_WF_0340.JPG,36_32_WF_0340.JPG,873 kB,BTC5HDPX,11/4/19 11:56,2000x1125,42.0 mm,Jan-73,2.4,100,Unknown (288),"Auto, Did not fire",159,4,2
721,./36_32_WF_0341.JPG,36_32_WF_0341.JPG,872 kB,BTC5HDPX,11/4/19 11:56,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",159,4,2
722,./36_32_WF_0342.JPG,36_32_WF_0342.JPG,872 kB,BTC5HDPX,11/4/19 11:56,2000x1125,42.0 mm,Jan-70,2.4,100,Unknown (288),"Auto, Did not fire",159,4,2
